from,to,symbol,quantity,date
spi-payments,underground,HIVE,0.72,2020-10-26
spi-payments,silverstackeruk,HIVE,1.21,2020-10-26
spi-payments,chrisparis,HIVE,0.84,2020-10-26
spi-payments,shanibeer,HIVE,1.21,2020-10-26
spi-payments,taskmaster4450,HIVE,1.33,2020-10-26
spi-payments,chronocrypto,HIVE,1.36,2020-10-26
spi-payments,ecoinstant,HIVE,0.48,2020-10-26
spi-payments,brofund,HIVE,3.62,2020-10-26
spi-payments,knowhow92,HIVE,0.24,2020-10-26
spi-payments,edthecanadian,HIVE,0.1,2020-10-26
spi-payments,oscarps,HIVE,0.24,2020-10-26
spi-payments,theb0red1,HIVE,0.24,2020-10-26
spi-payments,sevenoh-fiveoh,HIVE,0.03,2020-10-26
spi-payments,coronadino,HIVE,0.14,2020-10-26
spi-payments,gattino,HIVE,0.14,2020-10-26
spi-payments,dadapizza,HIVE,0.13,2020-10-26
spi-payments,cmplxty,HIVE,0.12,2020-10-26
spi-payments,lammbock,HIVE,0.08,2020-10-26
spi-payments,spirall,HIVE,0.07,2020-10-26
spi-payments,dkid14,HIVE,0.07,2020-10-26
spi-payments,bold-n-italics,HIVE,0.03,2020-10-26
spi-payments,eirik,HIVE,0.03,2020-10-26
spi-payments,roleerob,HIVE,2.33,2020-10-26
spi-payments,metzli,HIVE,0.24,2020-10-26
spi-payments,brofundholdings,HIVE,0.076,2020-10-26
spi-payments,taskmaster4450,HIVE,0.033,2020-10-26
spi-payments,discohedge,HIVE,0.014,2020-10-26
spi-payments,silverstackeruk,HIVE,0.03,2020-10-26
spi-payments,cmplxty,HIVE,0.003,2020-10-26
spi-payments,knowhow92,HIVE,0.006,2020-10-26
spi-payments,chrisparis,HIVE,0.021,2020-10-26
spi-payments,dkid14,HIVE,0.002,2020-10-26
spi-payments,flemingfarm,HIVE,0.012,2020-10-26
spi-payments,metzli,HIVE,0.006,2020-10-26
spi-payments,jznsamuel,HIVE,0.012,2020-10-26
spi-payments,spirall,HIVE,0.002,2020-10-26
spi-payments,shanibeer,HIVE,0.03,2020-10-26
spi-payments,roleerob,HIVE,0.059,2020-10-26
spi-payments,gattino,HIVE,0.003,2020-10-26
spi-payments,chronocrypto,HIVE,0.033,2020-10-26
spi-payments,underground,HIVE,0.018,2020-10-26
spi-payments,oscarps,HIVE,0.006,2020-10-26
spi-payments,theb0red1,HIVE,0.006,2020-10-26
spi-payments,edthecanadian,HIVE,0.002,2020-10-26
spi-payments,eirik,HIVE,0.001,2020-10-26
spi-payments,ericburgoyne,HIVE,0.015,2020-10-26
spi-payments,felander,HIVE,0.015,2020-10-26
spi-payments,wongbraling,HIVE,0.001,2020-10-26
spi-payments,bold-n-italics,HIVE,0.001,2020-10-26
spi-payments,coronadino,HIVE,0.004,2020-10-26
spi-payments,dadapizza,HIVE,0.003,2020-10-26
spi-payments,lammbock,HIVE,0.002,2020-10-26
spi-payments,sevenoh-fiveoh,HIVE,0.001,2020-10-26
spi-payments,cwow2,HIVE,0.001,2020-10-26
spi-payments,ecoinstant,HIVE,0.012,2020-10-26
spi-payments,xyzashu,HIVE,0.01,2020-10-27
spi-payments,cwow2,HIVE,0.02,2020-10-27
spi-payments,wongbraling,HIVE,0.02,2020-10-27
spi-payments,chrisparis,HIVE,0.85,2020-11-02
spi-payments,ericburgoyne,HIVE,0.76,2020-11-02
spi-payments,underground,HIVE,0.72,2020-11-02
spi-payments,felander,HIVE,0.61,2020-11-02
spi-payments,archon-mining,HIVE,0.6,2020-11-02
spi-payments,flemingfarm,HIVE,0.48,2020-11-02
spi-payments,jznsamuel,HIVE,0.48,2020-11-02
spi-payments,ecoinstant,HIVE,0.48,2020-11-02
spi-payments,knowhow92,HIVE,0.25,2020-11-02
spi-payments,metzli,HIVE,0.24,2020-11-02
spi-payments,oscarps,HIVE,0.24,2020-11-02
spi-payments,theb0red1,HIVE,0.24,2020-11-02
spi-payments,adhammer,HIVE,0.15,2020-11-02
spi-payments,coronadino,HIVE,0.14,2020-11-02
