from,to,symbol,date,quantity
utopis,adamada,HIVE,2021-03-08,0.409
utopis,teenagecrypto,HIVE,2021-03-08,1.134
utopis,sayee,HIVE,2021-03-08,0.5
utopis,berthold,HIVE,2021-03-08,0.727
utopis,salexa5,HIVE,2021-03-08,0.409
utopis,shoemanchu,HIVE,2021-03-08,3.817
utopis,theroad2freedom,HIVE,2021-03-08,0.454
utopis,roleerob,HIVE,2021-03-08,15.904
utopis,blockmonster,HIVE,2021-03-08,1.818
utopis,thisismylife,HIVE,2021-03-08,0.108
utopis,road2nowhere,HIVE,2021-03-08,0.379
utopis,beerlotto,HIVE,2021-03-08,0.136
utopis,ph1102,HIVE,2021-03-08,2.842
utopis,uyobong,HIVE,2021-03-08,4.544
utopis,shepherd-stories,HIVE,2021-03-08,1.181
utopis,nikoleondas,HIVE,2021-03-08,0.707
utopis,no-advice,HIVE,2021-03-08,7.952
utopis,summertooth,HIVE,2021-03-08,1.999
utopis,adhammer,HIVE,2021-03-08,0.26
utopis,voinvote.token,HIVE,2021-03-08,0.136
utopis,partitura,HIVE,2021-03-08,29.081
utopis,skylinebuds,HIVE,2021-03-08,2.318
utopis,mpath,HIVE,2021-03-08,0.136
utopis,stayoutoftherz,HIVE,2021-03-08,2.045
utopis,nickyhavey,HIVE,2021-03-08,2.272
utopis,a1-shroom-spores,HIVE,2021-03-08,0.091
utopis,myfreebtc,HIVE,2021-03-08,0.091
utopis,votebetting,HIVE,2021-03-08,30.671
utopis,branbello,HIVE,2021-03-08,0.045
utopis,xabi,HIVE,2021-03-08,9.817
utopis,netaterra,HIVE,2021-03-08,152.447
utopis,snackaholic,HIVE,2021-03-08,0.364
utopis,spinvest,HIVE,2021-03-08,181.755
utopis,myvest,HIVE,2021-03-08,30.898
utopis,vipservice,HIVE,2021-03-08,44.965
utopis,sinistry,HIVE,2021-03-08,0.052
utopis,accelerator,HIVE,2021-03-08,0.091
utopis,taskmanager,HIVE,2021-03-08,16.812
utopis,oldmans,HIVE,2021-03-08,0.454
utopis,velourex,HIVE,2021-03-08,0.454
