from,to,symbol,quantity,date
spi-payments,samsemilia7,HIVE,0.879,2020-05-24
spi-payments,kerrislravenhill,HIVE,0.07,2020-05-24
spi-payments,elbrava,HIVE,0.048,2020-05-24
spi-payments,meaganx08,HIVE,1.221,2020-05-24
spi-payments,conradsuperb,HIVE,11.201,2020-05-24
spi-payments,jdkennedy,HIVE,0.311,2020-05-24
spi-payments,mytechtrail,HIVE,0.788,2020-05-24
spi-payments,c0ff33a,HIVE,0.104,2020-05-24
spi-payments,putu300,HIVE,0.025,2020-05-24
spi-payments,ericburgoyne,HIVE,1.143,2020-05-24
spi-payments,geke,HIVE,0.845,2020-05-24
spi-payments,netaterra,HIVE,2.885,2020-05-24
spi-payments,bobby.madagascar,HIVE,0.039,2020-05-24
spi-payments,rosatravels,HIVE,0.424,2020-05-24
spi-payments,super-irie,HIVE,3.232,2020-05-24
spi-payments,walterjay,HIVE,0.208,2020-05-24
spi-payments,flemingfarm,HIVE,1.858,2020-05-24
spi-payments,roger5120,HIVE,16.1,2020-05-24
spi-payments,barbara-orenya,HIVE,0.206,2020-05-24
spi-payments,coolguy123,HIVE,0.022,2020-05-24
spi-payments,stayoutoftherz,HIVE,0.735,2020-05-24
spi-payments,themanwithnoname,HIVE,0.481,2020-05-24
spi-payments,nikkitoo,HIVE,0.043,2020-05-24
spi-payments,dfinney,HIVE,0.008,2020-05-24
spi-payments,javiersebastian,HIVE,0.021,2020-05-24
spi-payments,felander,HIVE,1.025,2020-05-24
spi-payments,gattino,HIVE,0.839,2020-05-24
spi-payments,satoshibit,HIVE,0.021,2020-05-24
spi-payments,forykw,HIVE,0.011,2020-05-24
spi-payments,superlao,HIVE,0.104,2020-05-24
spi-payments,dera123,HIVE,3.673,2020-05-24
spi-payments,gillianpearce,HIVE,0.551,2020-05-24
spi-payments,xyzashu,HIVE,0.618,2020-05-24
spi-payments,znnuksfe,HIVE,0.74,2020-05-31
spi-payments,silvertop,HIVE,0.133,2020-05-31
spi-payments,barmbo,HIVE,0.029,2020-05-31
spi-payments,simonjay,HIVE,0.021,2020-05-31
spi-payments,elizabethbit,HIVE,0.105,2020-05-31
spi-payments,coreyb,HIVE,0.021,2020-05-31
spi-payments,cottonlion,HIVE,0.021,2020-05-31
spi-payments,eii,HIVE,0.015,2020-05-31
spi-payments,invest2learn,HIVE,0.091,2020-05-31
spi-payments,indextrader24,HIVE,0.004,2020-05-31
spi-payments,neoxian,HIVE,0.016,2020-05-31
spi-payments,incubot,HIVE,0.101,2020-05-31
spi-payments,silveringots,HIVE,0.008,2020-05-31
spi-payments,kirstin,HIVE,0.02,2020-05-31
spi-payments,wapitielk,HIVE,0.012,2020-05-31
spi-payments,moeenali,HIVE,0.005,2020-05-31
spi-payments,no-advice,HIVE,0.456,2020-05-31
spi-payments,crosheille,HIVE,0.235,2020-05-31
spi-payments,chrisparis,HIVE,9.493,2020-05-31
spi-payments,raymondspeaks,HIVE,0.005,2020-05-31
spi-payments,reefe,HIVE,0.29,2020-05-31
spi-payments,isdev,HIVE,0.022,2020-05-31
spi-payments,joetunex,HIVE,0.022,2020-05-31
spi-payments,dm312,HIVE,0.007,2020-05-31
spi-payments,bethvalverde,HIVE,0.065,2020-05-31
spi-payments,whitelightxpress,HIVE,0.061,2020-05-31
spi-payments,dianadora,HIVE,0.032,2020-05-31
spi-payments,cadawg,HIVE,0.011,2020-05-31
spi-payments,melinda010100,HIVE,0.367,2020-05-31
spi-payments,hauptwerk,HIVE,0.107,2020-05-31
spi-payments,nobse,HIVE,0.213,2020-05-31
spi-payments,huntforsteem,HIVE,0.527,2020-05-31
spi-payments,weedermann,HIVE,0.015,2020-05-31
spi-payments,bitcoinflood,HIVE,0.015,2020-05-31
spi-payments,simplegame,HIVE,0.007,2020-05-31
spi-payments,trincowski,HIVE,0.004,2020-05-31
spi-payments,brickmanbrad,HIVE,0.01,2020-05-31
spi-payments,eturnerx,HIVE,0.117,2020-05-31
spi-payments,rambutan.art,HIVE,0.053,2020-05-31
spi-payments,spir-payments,HIVE,0.017,2020-05-31
spi-payments,chekohler,HIVE,0.085,2020-05-31
spi-payments,gerber,HIVE,0.483,2020-05-31
spi-payments,golddeck,HIVE,0.026,2020-05-31
